Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,year,Continent
South Korea,84.4,43.0,64.5,90.1,50.1,97.7,2013,Asia
Spain,83.53,28.9,57.31,65.82000000000001,80.92,88.4,2013,Europe
Sri Lanka,50.2,19.7,35.6,55.3,31.0,36.3,2013,Asia
Sudan,71.1,29.2,51.0,72.6,40.6,26.6,2013,Africa
Sweden,114.13333333333333,41.9,79.46666666666667,103.83333333333333,112.43333333333334,103.33333333333333,2013,Europe
Switzerland,148.66666666666666,70.10000000000001,110.96666666666665,148.8,136.96666666666667,140.33333333333334,2013,Europe
Syria,49.1,19.1,34.7,36.5,44.7,18.6,2013,Asia
Taiwan,68.9,27.2,48.9,87.8,31.6,68.8,2013,Asia
Tanzania,57.2,18.7,38.7,58.1,27.0,30.0,2013,Africa
Thailand,52.366666666666674,22.166666666666668,37.86666666666667,58.56666666666666,26.166666666666668,33.733333333333334,2013,Asia
Tunisia,50.6,12.8,32.4,44.7,41.3,28.8,2013,Africa
Turkey,65.7,16.475,42.05,52.5,49.55,54.15,2013,Asia
Ukraine,50.925000000000004,18.975,35.575,42.35,44.55,30.5,2013,Europe
United Arab Emirates,72.15,71.8,71.95,63.05,66.05,123.95,2013,Asia
United Kingdom,106.3736842105263,43.41052631578947,76.15789473684211,97.80526315789473,101.15789473684211,91.43157894736842,2013,Europe
United States,85.272,42.93600000000001,64.954,86.764,71.97,131.54399999999998,2013,North America
Uruguay,80.9,26.7,54.9,71.0,71.4,38.8,2013,South America
Venezuela,115.7,55.3,86.7,124.8,102.0,20.2,2013,South America
Vietnam,47.95,24.65,36.75,43.35,24.55,27.85,2013,Asia
Albania,51.9,12.0,32.5,43.5,40.5,33.7,2014,Europe
Algeria,42.0,14.3,28.5,41.5,31.0,26.6,2014,Africa
Argentina,71.3,19.8,46.3,66.7,66.1,57.8,2014,South America
Armenia,47.6,14.6,31.6,37.6,42.8,23.6,2014,Asia
Australia,106.9090909090909,53.690909090909095,81.07272727272726,103.41818181818181,99.32727272727271,104.39090909090909,2014,Oceania
Austria,84.4,32.5,59.15,83.6,73.6,101.3,2014,Europe
