,Country,GENC,Year,Continent,Income,Area in Square Kilometers,Population,Annual Growth Rate %,Rate of Natural Increase,Population Density (People per Sq. Km.),Natural Increase,Total Fertility Rate,Crude Birth Rate,Gross Reproduction Rate,LifeExp,"Infant Mortality Rate, Both Sexes",Crude Death Rate,"Deaths, both sexes",Net Migration Rate,"Net international migrants, both sexes",Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
812,Colombia,CO,2019,South America,UM,1038700,47829703,1.71,1.02,46,489744,1.96,15.6,0.95,78.4,11.8,5.4,258077,6.8,326903,30.88,9.1,20.4,25,23.2,36.58
813,Costa Rica,CR,2019,North America,UM,51060,5076609,1.07,0.81,99.4,41174,1.6,12.7,0.78,80.4,6.4,4.6,23099,2.6,13154,54.5,16.7,36.4,52.2,46.8,47
814,Croatia,HR,2019,Europe,H,55974,4250505,-0.49,-0.37,75.9,-15848,1.42,8.8,0.69,76.5,9.2,12.5,53295,-1.2,-5153,49.4,11.4,31.18,40.55,42.2,56.6
815,Cyprus,CY,2019,Europe,H,9241,1252725,1.22,0.43,135.6,5327,1.47,11.1,0.72,79.1,9,6.8,8519,8,9984,59.63,19.43,40.33,49,64.63,70
816,Denmark,DK,2019,Europe,H,42434,5841245,0.51,0.16,137.7,9379,1.78,11,0.86,81.1,3.2,9.4,54920,3.5,20426,82.13,30.78,57.48,64.25,99.5,117.5
817,Dominican Republic,DO,2019,North America,UM,48320,10428436,1.02,1.29,215.8,134494,2.37,19.6,1.16,71.6,23.3,6.7,69569,-2.7,-27840,45.4,12.1,29.4,36.1,42.2,28
818,Ecuador,EC,2019,South America,UM,248360,17264296,2,1.47,69.5,253979,2.39,19,1.16,81.8,11.2,4.3,74559,5.3,90554,43,13.1,28.63,38.77,31.47,40.37
819,El Salvador,SV,2019,North America,LM,20721,6427299,0.88,1.29,310.2,82772,2.1,18.8,1.02,74.6,12.8,5.9,38001,-4.1,-26373,49.1,16.6,33.5,50.5,35.6,29.1
820,Estonia,EE,2019,Europe,H,42388,1236253,-0.63,-0.33,29.2,-4108,1.6,9.6,0.78,77.2,3.6,12.9,15980,-3,-3685,51.55,14.9,34,38.25,51.1,76.6
821,Fiji,FJ,2019,Oceania,UM,18274,930476,0.52,1.15,50.9,10707,2.34,17.7,1.14,73.5,10.7,6.2,5758,-6.3,-5874,49.4,31.6,40.9,55.4,36.2,32.3
822,Finland,FI,2019,Europe,H,303815,5556081,0.31,0.04,18.3,2192,1.74,10.6,0.85,81.3,2.2,10.2,56726,2.7,14803,77.35,29.55,54.35,64.85,82,107.8
823,France,FR,2019,Europe,H,640427,67600653,0.34,0.21,105.6,140906,1.91,11.1,0.94,82.9,3.1,9.1,612145,1.3,85345,75.72,28.22,52.9,67.5,73.48,94.98
824,Georgia,GE,2019,Asia,UM,69700,4990137,-0.03,0.13,71.6,6579,2.01,13.6,0.97,74,19.9,12.3,61189,-1.7,-8243,28.5,9.1,19.2,22.7,26.9,34.6
825,Germany,DE,2019,Europe,H,348672,84486950,0.13,-0.24,242.3,-200046,1.56,9.2,0.76,81.3,3.2,11.6,978136,3.7,310022,68.32,27.3,48.63,54.46,63.66,117.88
826,Ghana,GH,2019,Africa,LM,227533,30918261,2.34,2.34,135.9,724735,3.8,30.1,1.87,68.2,34.9,6.7,206025,-0.1,-1868,52.7,35.3,44.4,47.1,32.3,12.8
827,Greece,GR,2019,Europe,H,130647,10638236,-0.3,-0.39,81.4,-41636,1.37,8,0.66,81,3.7,11.9,126437,0.9,9565,55.53,10.83,34.08,42.95,52.6,50.15
828,Guatemala,GT,2019,North America,UM,107159,16856499,1.68,1.89,157.3,318512,2.8,23.9,1.36,72.1,28,5,84401,-2.1,-34740,42.9,14.1,29.1,39,34,43.4
829,Hungary,HU,2019,Europe,H,89608,10052971,-0.08,-0.47,112.2,-47364,1.49,9,0.72,76,4.7,13.7,137355,3.9,39281,42.2,13.5,28.45,33.1,35,55.8
830,Iceland,IS,2019,Europe,H,100250,347209,1.04,0.69,3.5,2400,1.98,13.4,0.97,83.2,1.7,6.5,2258,3.5,1220,102.2,50.9,77.5,89.9,119,93.1
831,India,IN,2019,Asia,LM,2973193,1355597153,1.04,1.06,455.9,14333199,2.13,17.1,1.01,71.5,31.5,6.6,8887022,-0.2,-267593,24.41,5.95,15.55,24.46,17.88,67.2
832,Indonesia,ID,2019,Asia,UM,1811569,270532675,0.87,0.95,149.3,2570006,2.11,16.2,1.03,72.3,21.1,6.7,1822048,-0.8,-217436,38.55,9.25,24.5,42.03,20.73,29.35
833,Iraq,IQ,2019,Asia,UM,437367,37998273,2.2,2.24,86.9,849195,3.47,26.3,1.69,72.4,21,4,151253,-0.4,-13474,43.1,12.45,28.4,36.6,34.35,45.3
834,Ireland,IE,2019,Europe,H,68883,4982689,1.04,0.56,72.3,28110,1.69,11.9,0.83,82.5,2.8,6.3,31184,4.7,23626,73,39.6,56.98,60.95,75.9,91.7
835,Israel,IL,2019,Asia,H,21497,8689128,1.69,1.48,404.2,128838,3.01,20,1.47,82.7,2.9,5.2,44949,2.1,18000,74.6,30.25,53.33,60.43,82.9,93.58
836,Italy,IT,2019,Europe,H,294140,61449057,-0.1,-0.35,208.9,-214333,1.17,6.8,0.57,83.1,3,10.3,634417,2.5,153273,70.21,26.31,49.13,59.69,75.09,70.11
837,Japan,JP,2019,Asia,H,364485,125555208,-0.32,-0.4,344.5,-497330,1.36,7.1,0.66,84.3,2,11.1,1392821,0.8,94438,84,29.8,57.95,83.05,51.9,99.8
838,Jordan,JO,2019,Asia,UM,88802,10669125,1.99,1.99,120.1,211814,3.09,23.3,1.5,75.3,14.9,3.4,36484,0,0,56.8,12.5,35.5,46.5,52.8,41
839,Kazakhstan,KZ,2019,Asia,UM,2699700,19299642,1.22,1.4,7.1,269147,2.79,20.8,1.35,74,10,6.9,133098,-1.7,-32970,31.05,10.75,21.3,24.8,31.5,41.1
840,Kenya,KE,2019,Africa,LM,569140,52348464,2.22,2.24,92,1173856,3.51,27.7,1.74,68.5,30.9,5.3,277048,-0.2,-10691,42.1,13.3,28.2,37.5,34.8,27.7
841,Latvia,LV,2019,Europe,H,62249,1903750,-1.08,-0.52,30.6,-9944,1.53,9.4,0.74,75.2,5.1,14.6,27841,-5.6,-10649,50.4,13.2,32.5,37.1,48.9,55.5
842,Lebanon,LB,2019,Asia,UM,10230,5841037,-5.39,0.87,571,50612,1.71,13.9,0.84,78.1,7.5,5.2,30409,-62.6,-365411,60.4,29.6,45.6,45.3,58.2,49.1
843,Lithuania,LT,2019,Europe,H,62680,2768295,-1.03,-0.52,44.2,-14277,1.6,9.7,0.78,75.3,3.7,14.9,41179,-5.2,-14316,46.2,12.5,30.03,36.17,43.2,59.27
844,Luxembourg,LU,2019,Europe,H,2586,617419,1.83,0.43,238.8,2664,1.62,11.6,0.79,82.6,3.4,7.3,4490,14,8656,89.6,56.7,73.8,80.4,96.3,112.8
845,Malaysia,MY,2019,Asia,UM,328657,32800591,1.13,0.98,99.8,319747,1.82,15.2,0.88,75.7,6.8,5.5,179252,1.5,50000,42.9,11.07,27.63,47.83,25.2,69.17
846,Malta,MT,2019,Europe,H,316,453321,0.91,0.19,1434.6,870,1.48,10,0.72,82.7,4.7,8.1,3659,7.2,3247,65.9,34.4,50.8,49.8,80.6,64.5
847,Mexico,MX,2019,North America,UM,1943945,127294489,0.9,0.98,65.5,1242048,1.88,15.5,0.92,75.6,12.3,5.7,727379,-0.7,-92432,33.79,10.69,22.7,31.26,30.45,48.76
848,Moldova,MD,2019,Europe,LM,32891,3626590,-1.43,-0.4,110.3,-14577,1.21,8.8,0.58,70.8,13.2,12.8,46440,-10.2,-37092,33.2,8.6,21.4,25.6,29.8,31.6
849,Mongolia,MN,2019,Asia,LM,1553556,3136806,1.05,1.13,2,35275,2,17.5,0.97,70.5,21.5,6.3,19670,-0.8,-2500,35.3,9.3,22.8,33.3,24.5,30.1
850,Montenegro,ME,2019,Europe,UM,13452,612064,-0.36,0.13,45.5,784,1.82,11.7,0.9,77.1,3.4,10.4,6372,-4.9,-3005,39.7,10.2,25.5,31.9,32,48.5
851,Morocco,MA,2019,Africa,LM,716550,35701589,1,1.18,49.8,421728,2.35,18.4,1.15,72.9,20.7,6.6,235274,-1.8,-63236,37.1,13.9,25.95,31.75,27.35,40.3
852,Namibia,,2019,Africa,UM,823290,2581821,1.87,1.87,3.1,48299,3.14,26.2,1.55,65,31.8,7.5,19272,0,0,44.7,19.2,32.5,41.4,39.4,61.3
853,Nepal,NP,2019,Asia,LM,143351,29910522,0.92,1.29,208.7,385821,2.01,18.5,0.98,71.6,27,5.6,167046,-3.7,-109415,31.2,5.1,18.7,28,20.6,25.3
854,Netherlands,NL,2019,Europe,H,33893,17303793,0.73,0.1,510.5,17795,1.57,9.8,0.77,82.1,3.6,8.8,151885,6.2,108036,74.32,34.47,55.18,59.09,79.28,99.6
855,New Zealand,NZ,2019,Oceania,H,264537,4854803,1.5,0.59,18.4,28576,1.88,12.8,0.91,82,3.6,6.9,33656,9.1,44179,73.3,34.97,54.9,66.13,68.87,106.57
856,Nicaragua,NI,2019,North America,LM,119990,6352079,1.14,1.32,52.9,84116,1.93,17.8,0.94,74.9,16.5,4.6,29019,-1.9,-11877,44.2,9.2,27.4,41,34,30.2
857,Nigeria,NG,2019,Africa,LM,910768,208640307,2.53,2.55,229.1,5328758,4.79,34.9,2.32,59.8,61.5,9.3,1949385,-0.2,-43905,34.8,38.6,36.6,34.1,27.3,14.4
858,North Macedonia,MK,2019,Europe,UM,25433,2122376,0.16,0.1,83.4,2176,1.49,10.7,0.72,76.1,7.8,9.7,20514,0.5,1146,34.4,7.9,21.7,26.9,27.9,40.4
859,Norway,NO,2019,Europe,H,304282,5350073,0.73,0.26,17.6,13811,1.54,10.2,0.74,83,2.1,7.6,40684,4.7,25327,101.05,38.6,71.08,90.75,114.5,105.93
860,Oman,OM,2019,Asia,H,309500,3554839,1.97,2.01,11.5,71419,2.78,23.4,1.36,76.2,15.4,3.3,11710,-0.4,-1513,48.9,23.2,36.5,41.3,50.9,88.7
861,Pakistan,PK,2019,Asia,LM,770875,228674451,2.08,2.16,296.6,4948569,3.68,27.9,1.8,68.8,57.9,6.3,1441150,-0.8,-187193,21.78,4.8,13.63,19.23,18.23,38.85
862,Panama,PA,2019,North America,H,74340,4139538,2.09,1.38,55.7,57062,2.45,18.8,1.19,79.3,14.5,5.1,20942,7.1,29460,54.6,29,42.3,49.2,55.9,41.1
863,Paraguay,PY,2019,South America,UM,397302,7105476,1.17,1.18,17.9,83813,1.9,16.6,0.93,77.7,25,4.8,33928,-0.1,-504,32,9.9,21.4,26.2,25.6,36.1
864,Peru,PE,2019,South America,UM,1279996,31452824,1.62,1.26,24.6,396968,2.29,18.1,1.12,77.5,10.8,5.5,171895,3.5,110936,39.8,13.8,27.3,35.2,29.2,37.2
865,Philippines,PH,2019,Asia,LM,298170,108205565,1.58,1.57,362.9,1695838,2.67,21.5,1.3,70.9,22.1,5.8,628285,0.2,15719,36.6,11.2,24.43,32.68,22.2,28.65
866,Poland,PL,2019,Europe,H,304255,38452869,-0.09,-0.11,126.4,-40948,1.44,9.8,0.7,77.8,4.4,10.8,415902,0.2,6200,39.69,14.55,27.63,31.23,33.63,67.77
867,Portugal,PT,2019,Europe,H,91470,10314630,-0.26,-0.27,112.8,-27462,1.4,8.1,0.68,81,2.6,10.8,111285,0.1,478,51.33,20.8,36.68,41.3,42.48,57.7
868,Puerto Rico,PR,2019,North America,H,8869,3241261,-1.62,-0.11,365.5,-3603,1.22,7.9,0.59,81.1,6.4,9,29310,-15.1,-48821,66.5,22,45.1,64.4,55.9,101.6
869,Qatar,QA,2019,Asia,H,11586,2409287,1.68,0.81,207.9,19533,1.91,9.5,0.94,79.2,7.1,1.4,3429,8.7,21022,58.9,46.5,52.9,47.7,61.2,136
870,Romania,RO,2019,Europe,H,229891,19196073,-1.04,-0.37,83.5,-71606,1.72,9.8,0.84,76.3,5.7,13.5,259721,-6.7,-128617,36.72,9.6,23.69,30.67,31.45,54.53
871,Saudi Arabia,SA,2019,Asia,H,2149690,33670051,1.64,1.21,15.7,406565,2.02,15.4,0.99,75.9,13.2,3.3,111916,4.3,144916,50.55,12.9,32.5,42.1,34.48,114.53
872,Serbia,RS,2019,Europe,UM,77474,6902768,-0.54,-0.54,89.1,-37059,1.49,9.3,0.73,75.3,4.8,14.7,101458,0,0,36,8,22.57,27.4,30.07,40.6
873,Singapore,SG,2019,Asia,H,709,5753597,0.99,0.56,8115.1,32170,1.14,9.4,0.56,85.8,1.6,3.8,21740,4.4,25000,69.8,53.1,61.8,57.5,46.7,103.8
874,Slovenia,SI,2019,Europe,H,20151,2102381,0.01,-0.12,104.3,-2489,1.58,8.9,0.78,81.3,1.6,10.1,21294,1.3,2691,51.6,14.7,33.9,42,42.95,78.5
875,South Africa,ZA,2019,Africa,UM,1214470,57363192,1.19,1.3,47.2,747432,2.42,20.2,1.2,70.4,22.2,7.2,410796,-1.2,-67129,43.34,16.34,30.34,34.32,40.64,80.34
876,Spain,ES,2019,Europe,H,498980,46812053,0.85,-0.12,93.8,-58086,1.3,7.7,0.63,83.2,2.7,8.9,418703,9.7,454232,55.59,22.34,39.6,45.67,54.65,81.41
877,Sri Lanka,LK,2019,Asia,LM,64630,21247368,0.22,0.83,328.8,176901,2.18,14.9,1.07,76.9,7,6.6,139349,-6.1,-129565,32.3,8.9,21.1,36.4,19.7,26.2
878,Sweden,SE,2019,Europe,H,410335,10311555,0.91,0.25,25.1,25688,1.7,11.1,0.82,83.1,2.1,8.6,88766,6.6,68087,72.04,28.48,51.12,64.18,76.88,110
879,Switzerland,CH,2019,Europe,H,39997,8525316,0.67,0.22,213.1,18392,1.52,10.1,0.74,83.7,3,8,67780,4.6,38848,123.63,51.07,88.77,123.32,121.73,130.32
880,Tanzania,TZ,2019,Africa,LM,885800,58659971,2.88,2.93,66.2,1719446,4.6,34.8,2.27,68.9,33.8,5.5,322496,-0.5,-29274,38.7,20.9,30.1,29.7,29.9,26.4
881,Thailand,TH,2019,Asia,UM,510890,69082954,0.32,0.3,135.2,209656,1.53,10.5,0.75,76.9,6.8,7.5,515934,0.1,9094,48.2,17.38,33.4,51.65,27.1,38.75
882,Tunisia,TN,2019,Africa,LM,155360,11620878,0.88,1.03,74.8,119298,2.12,16.6,1.03,76.1,12.7,6.3,73574,-1.5,-17085,25.2,5.8,15.9,23.8,14.5,35.4
883,Uganda,UG,2019,Africa,L,197100,41830731,3.33,3.74,212.2,1562381,5.63,42.9,2.77,67.7,33.8,5.5,231547,-4.1,-170148,32.8,10.2,22,28.1,24.7,21.8
884,Ukraine,UA,2019,Europe,LM,579330,43686413,-0.24,-0.7,75.4,-305445,1.23,8,0.6,71.8,8.1,15,654419,4.6,200000,28.48,9.9,19.58,22.48,23.3,33.54
885,United Arab Emirates,AE,2019,Asia,H,83600,9720156,0.78,0.95,116.3,92606,1.67,10.9,0.82,79,5.4,1.4,13747,-1.7,-16548,56.76,35.98,46.82,46.44,49.78,115.74
886,United Kingdom,GB,2019,Europe,H,241930,66603767,0.65,0.18,275.3,117682,1.62,10.7,0.79,81.6,3.9,8.9,594974,4.7,312521,66.32,30.29,49.01,53.09,74.26,106.61
887,United States,US,2019,North America,H,9151125,328329953,0.46,0.27,35.9,893000,--,11.4,--,--,--,8.7,2855000,1.8,594330,72.03,43.24,58.2,69.56,73.43,124.68
888,Uruguay,UY,2019,South America,H,175015,3380460,0.27,0.35,19.3,11968,1.78,12.9,0.87,77.8,8.8,9.3,31543,-0.9,-3000,56.7,16.4,37.3,45.2,53,53.5
889,Uzbekistan,UZ,2019,Asia,LM,425400,33363072,1.95,1.98,78.4,660390,2.84,24.4,1.36,76.5,17.8,4.6,154570,-0.3,-10686,28,8.2,18.5,24.3,22.7,26.9
890,Vietnam,VN,2019,Asia,LM,310070,100669666,1.09,1.11,324.7,1118453,2.09,16.9,0.99,74.9,15.7,5.7,578096,-0.3,-25362,38.65,13.75,26.7,39.05,20.15,34.5
891,Zimbabwe,ZW,2019,Africa,LM,386847,15433591,2.28,2.39,39.9,369282,3.67,31.6,1.81,64.5,37.9,7.7,118124,-1.1,-17017,52.4,13.8,33.9,45.7,39.2,28
892,Albania,AL,2020,Europe,UM,27398,3080930,0.25,0.57,112.5,17652,1.53,13,0.73,79,11.4,7.2,22273,-3.3,-10000,38.7,10.1,25,30.2,29.7,28.8
893,Algeria,DZ,2020,Africa,LM,2381740,43956864,1.76,1.78,18.5,782248,3.06,23.1,1.49,75.4,19.4,5.3,233874,-0.3,-10809,32.1,8.1,20.6,32.4,19.3,28.1
894,Argentina,AR,2020,South America,UM,2736690,45479650,0.85,0.86,16.6,391323,2.21,16,1.07,77.8,9.8,7.4,337083,-0.1,-3927,34.6,9.1,22.4,26.9,33.1,46.7
895,Armenia,AM,2020,Asia,UM,28203,3021483,-0.31,0.24,107.1,7227,1.65,11.9,0.79,75.6,12.8,9.5,28603,-5.5,-16572,33,10.9,22.4,25.6,30.6,28.3
896,Australia,AU,2020,Oceania,H,7682300,25467706,1.37,0.56,3.3,142056,1.74,12.4,0.84,82.7,3.1,6.8,173262,8.1,205456,73.53,35.36,55.27,67.17,71.54,111.51
897,Austria,AT,2020,Europe,H,82445,8856348,0.32,-0.03,107.4,-3052,1.49,9.5,0.73,81.9,3.3,9.9,87265,3.6,31678,72.75,26.98,50.85,63.75,69.85,79.95
898,Azerbaijan,AZ,2020,Asia,UM,82629,10464719,0.5,0.49,126.6,50793,1.69,12.4,0.79,73.1,13.8,7.5,78672,0.1,1101,31.3,10,21.1,24.5,32.2,29.8
899,Bahrain,BH,2020,Asia,H,760,1504665,2.04,0.98,1979.8,14760,1.69,12.6,0.83,79.5,10.8,2.8,4227,10.6,15998,59,30.4,45.3,48.5,55.8,52
900,Bangladesh,BD,2020,Asia,LM,130170,162532538,0.97,1.26,1248.6,2053799,2.11,18.1,1.03,74.2,31.9,5.4,881089,-3,-480958,34.5,5.7,20.7,31.6,20,33.5
901,Belarus,BY,2020,Europe,UM,202900,9636175,-0.28,-0.41,47.5,-39748,1.44,9.2,0.7,74.1,2.2,13.4,128750,1.3,12607,36.2,11.8,24.5,28.8,42.6,37.8
902,Belgium,BE,2020,Europe,H,30278,11708235,0.61,0.13,386.7,15608,1.77,11.1,0.87,81.4,3.3,9.8,114497,4.8,56031,72,26.5,50.23,58.37,80.03,87.17
903,Brazil,BR,2020,South America,UM,8358140,214752313,0.53,0.54,25.7,1149953,1.6,12.6,0.78,74.4,15,7.3,1557513,-0.1,-10786,41.15,11.58,27,29.98,33.43,32.83
904,Bulgaria,BG,2020,Europe,UM,108489,6965462,-0.67,-0.64,64.2,-44450,1.49,8.3,0.72,75,8.3,14.7,102052,-0.3,-2000,37.18,9.2,23.78,30.55,31,47.73
905,Cambodia,KH,2020,Asia,LM,176515,16337185,1.2,1.48,92.6,241110,2.32,20.5,1.13,70.3,30.4,5.8,93979,-2.8,-45114,46.9,18.2,33.2,43.3,26.4,14.6
906,Canada,CA,2020,North America,H,9093507,37649603,0.79,0.22,4.1,82897,1.56,10.2,0.76,83.4,4.5,8,302574,5.7,212635,68.47,31.51,50.79,64.31,65.33,97.53
907,Chile,CL,2020,South America,H,743812,18182486,0.7,0.66,24.4,120782,1.77,13.1,0.87,79.3,6.8,6.4,116740,0.3,6000,45.2,15.2,30.8,37.9,44.9,43
908,China,CN,2020,Asia,UM,9326410,1404031889,0.14,0.14,150.5,1964726,1.25,8.8,0.59,77.7,6.8,7.4,10452639,0,0,43.57,23.1,33.77,44.08,31.43,60.5
909,Colombia,CO,2020,South America,UM,1038700,48419737,0.75,0.91,46.6,439958,1.95,15.5,0.95,76.8,11.6,6.4,310014,-1.6,-76536,30.67,9.83,20.7,24.83,23.03,31.67
910,Costa Rica,CR,2020,North America,UM,51060,5122939,0.75,0.61,100.3,31166,1.44,11.4,0.7,79.2,7.7,5.3,26990,1.4,7166,58.5,18.3,39.3,54.4,49.4,39.1
911,Croatia,HR,2020,Europe,H,55974,4229585,-0.49,-0.4,75.6,-16700,1.43,8.7,0.69,76.7,9.1,12.7,53646,-1,-4139,48.53,12.5,31.3,39.55,40.45,50.93
912,Cyprus,CY,2020,Europe,H,9241,1267376,1.17,0.4,137.1,5119,1.48,10.9,0.72,79.3,9,6.9,8711,7.6,9662,59.37,20.67,40.87,47,62.97,58.4
913,Denmark,DK,2020,Europe,H,42434,5868927,0.44,0.16,138.3,9418,1.78,11.1,0.86,81.2,3.1,9.5,55698,2.8,16140,82.9,30.88,58.03,64.43,98.15,103.08
914,Dominican Republic,DO,2020,North America,UM,48320,10516103,0.65,0.93,217.6,97391,2.09,17,1.03,69.6,24.2,7.7,81421,-2.7,-28711,45.2,12.6,29.6,37.8,37.4,24.3
915,Ecuador,EC,2020,South America,UM,248360,17550613,1.3,1.2,70.7,211168,2.35,18.8,1.15,75.3,11.2,6.7,117963,1,16934,40.83,12.8,27.47,36,29.23,35.33
916,El Salvador,SV,2020,North America,LM,20721,6480810,0.78,1.27,312.8,81979,2.09,18.6,1.02,74.8,12.6,5.9,38340,-4.8,-31357,47.9,14.5,31.9,48.1,33.2,24
917,Estonia,EE,2020,Europe,H,42388,1228296,-0.66,-0.37,29,-4543,1.61,9.3,0.79,77.4,3.5,13,15991,-2.9,-3577,51.25,15.3,34.1,37.65,51.75,69.75
918,Finland,FI,2020,Europe,H,303815,5572355,0.28,0.02,18.3,1289,1.74,10.6,0.85,81.3,2.2,10.3,57526,2.6,14263,70.57,30.07,51.2,56.87,79.33,104.27
919,France,FR,2020,Europe,H,640427,67791837,0.23,0.12,105.9,83211,1.91,11.1,0.93,82.2,3.2,9.9,667532,1.1,72910,73.7,27.05,51.38,67.6,71.12,78.85
920,Georgia,GE,2020,Asia,UM,69700,4997628,0.33,0.02,71.7,914,1.97,13,0.95,73.3,21,12.9,64224,3.2,15732,28.3,10.8,19.9,22.2,26.5,26.7
921,Germany,DE,2020,Europe,H,348672,84498245,-0.1,-0.28,242.3,-237386,1.57,9.2,0.76,81.1,3.3,12,1013552,1.8,150000,65.91,27.06,47.33,49.6,61.97,100.37
922,Greece,GR,2020,Europe,H,130647,10604841,-0.33,-0.42,81.2,-44609,1.38,7.8,0.67,81.1,3.7,12,127720,0.9,9888,55.4,11.8,34.55,40.8,51.3,44.48
923,Guatemala,GT,2020,North America,UM,107159,17140193,1.66,1.83,160,312980,2.72,23.2,1.33,72.4,27.5,5,85257,-1.7,-29364,44.3,15.5,30.5,39.3,34.9,40.2
924,Hungary,HU,2020,Europe,H,89608,10026575,-0.45,-0.53,111.9,-52929,1.56,9.3,0.76,75.4,4.8,14.5,145716,0.8,8221,40.47,12.8,27.23,31.83,34.03,46.6
925,Iceland,IS,2020,Europe,H,100250,350773,1,0.67,3.5,2348,1.97,13.3,0.96,83.3,1.7,6.6,2305,3.3,1157,100.8,51.2,77.1,84.9,120.6,81.1
926,India,IN,2020,Asia,LM,2973193,1369541070,1.01,0.97,460.6,13287621,2.13,17.1,1.01,70.5,30.6,7.4,10134758,0.4,534607,25.07,6.03,15.98,25.12,18.09,55.37
927,Indonesia,ID,2020,Asia,LM,1811569,272856400,0.84,0.91,150.6,2492661,2.07,15.9,1.01,72.6,20.6,6.7,1837041,-0.7,-197782,38.03,12.63,25.9,40.37,19.1,22.07
928,Iraq,IQ,2020,Asia,UM,437367,38828885,2.13,2.18,88.8,845713,3.39,25.7,1.65,72.6,20.6,4,153412,-0.5,-20212,41.8,12.6,27.85,34.45,32.15,40.75
929,Ireland,IE,2020,Europe,H,68883,5030214,0.86,0.5,73,25047,1.65,11.3,0.8,82.8,2.6,6.3,31765,3.6,18269,75.28,42.48,59.55,60.38,78,76.58
930,Israel,IL,2020,Asia,H,21497,8829355,1.51,1.38,410.7,121417,2.9,19.2,1.41,82.4,3,5.4,47820,1.4,12200,82.03,33.1,58.63,65.83,90.77,76.43
931,Italy,IT,2020,Europe,H,294140,61337765,-0.26,-0.53,208.5,-325310,1.19,6.9,0.58,81.6,3.4,12.2,746146,2.7,163786,67,24.4,46.63,55.07,68.39,62.11
932,Jamaica,JM,2020,North America,UM,10831,2815048,0.05,0.87,259.9,24564,2.07,16.2,1.01,75.2,11.7,7.4,20890,-8.3,-23242,58,16,37.9,55.3,44,30.1
933,Japan,JP,2020,Asia,H,364485,125135727,-0.35,-0.42,343.3,-529787,1.37,7.1,0.67,84.5,1.9,11.3,1412696,0.8,93717,83.2,30.3,57.9,80.55,51.1,87.75
934,Jordan,JO,2020,Asia,UM,88802,10819966,0.83,1.96,121.8,211689,3.04,23,1.48,75.5,14.6,3.4,37088,-11.3,-121822,56.7,12.6,35.6,45.6,52.6,32.7
935,Kazakhstan,KZ,2020,Asia,UM,2699700,19513854,0.99,1.08,7.2,209964,2.61,19,1.26,72.3,8.5,8.3,161304,-0.9,-17718,32,10.45,21.7,25.1,31.6,41.95
936,Kenya,KE,2020,Africa,LM,569140,53513653,2.18,2.2,94,1177903,3.43,27.2,1.7,69,29.8,5.2,277072,-0.2,-10691,42.1,13.2,28.3,38.1,35.1,24.8
937,Kuwait,KW,2020,Asia,H,17818,2995271,1.24,1.58,168.1,47336,2.26,18,1.11,78.7,7.8,2.2,6657,-3.4,-10180,52.1,30.9,42,36.5,51.7,73.7
938,Latvia,LV,2020,Europe,H,62249,1883186,-1.09,-0.55,30.3,-10261,1.53,9.2,0.75,75.4,5,14.6,27567,-5.5,-10275,49.3,13.7,32.2,35.1,47,53.6
939,Lebanon,LB,2020,Asia,UM,10230,5463514,-8.06,0.82,534.1,44694,1.71,13.6,0.83,78.3,7.4,5.4,29706,-88.8,-484939,62.8,26.2,45.3,45.3,63.2,41
940,Lithuania,LT,2020,Europe,H,62680,2739816,-1.04,-0.54,43.7,-14777,1.6,9.6,0.78,75.4,3.7,15,41002,-5,-13588,44.55,14.1,30,34.65,42.95,60
941,Luxembourg,LU,2020,Europe,H,2586,628615,1.76,0.43,243.1,2698,1.62,11.6,0.79,82.6,3.3,7.3,4599,13.3,8374,83.7,55.8,70.4,69.5,92.4,106.3
942,Malaysia,MY,2020,Asia,UM,328657,33164013,1.08,0.93,100.9,307098,1.78,14.9,0.86,75.6,6.8,5.6,186677,1.5,50000,41.8,12.15,27.6,42,25.15,66.15
943,Malta,MT,2020,Europe,H,316,457270,0.83,0.17,1447.1,764,1.49,9.9,0.73,82.8,4.7,8.3,3777,6.6,3015,69.1,33.9,52.3,56.9,77.2,49.7
944,Mexico,MX,2020,North America,UM,1943945,128092570,0.35,0.42,65.9,540869,1.56,12.7,0.76,71,11.7,8.5,1086094,-0.7,-94325,37.1,12.1,25.14,33.88,31.91,42.69
945,Moldova,MD,2020,Europe,UM,32891,3587186,-0.76,-0.56,109.1,-19933,1.22,8.6,0.59,69.8,14.1,14.1,50735,-2,-7205,34.4,8.7,22.1,26.8,27.8,27.8
946,Mongolia,MN,2020,Asia,LM,1553556,3168648,0.98,1.05,2,33410,1.95,16.8,0.95,70.8,21,6.3,19871,-0.8,-2500,35,10.1,23.1,34,24,31.2
947,Montenegro,ME,2020,Europe,UM,13452,609786,-0.38,0.11,45.3,671,1.82,11.5,0.89,77.3,3.3,10.4,6350,-4.9,-3005,39.7,10.9,25.9,31,31.9,40.1
948,Morocco,MA,2020,Africa,LM,716550,36055311,0.97,1.15,50.3,412940,2.33,18,1.14,73.1,20.2,6.6,237635,-1.8,-63986,36.3,10.3,23.88,30.73,27.88,33.55
949,Namibia,,2020,Africa,UM,823290,2627111,1.61,1.61,3.2,42281,3.07,25.6,1.51,60.7,31,9.5,24983,0,0,43.9,17.5,31.3,39.9,38.1,56.1
