,Country,GENC,Year,Continent,Income,Area in Square Kilometers,Population,Annual Growth Rate %,Rate of Natural Increase,Population Density (People per Sq. Km.),Natural Increase,Total Fertility Rate,Crude Birth Rate,Gross Reproduction Rate,LifeExp,"Infant Mortality Rate, Both Sexes",Crude Death Rate,"Deaths, both sexes",Net Migration Rate,"Net international migrants, both sexes",Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
96,New Zealand,NZ,2011,Oceania,H,264537,4306933,0.68,0.73,16.3,31319,2.18,14.3,1.06,80.9,4.3,7,30084,-0.4,-1856,96.87,31.43,73.37,99.5,83.93,92.03
97,North Macedonia,MK,2011,Europe,UM,25433,2084928,0.2,0.16,82,3305,1.44,10.9,0.7,74.9,7.3,9.3,19465,0.4,806,45.2,14.5,34.1,36.3,30.5,37.5
98,Norway,NO,2011,Europe,H,304282,4955374,1.33,0.38,16.3,18827,1.9,12.2,0.92,81.2,2.3,8.4,41393,9.5,47032,145.83,60.4,115.13,147.23,149.3,93.93
99,Pakistan,PK,2011,Asia,LM,770875,192744405,2.19,2.46,250,4747402,4.33,32,2.11,66.1,69.9,7.4,1422894,-2.8,-529468,34,7.83,24.6,29.83,20.93,28
100,Panama,PA,2011,North America,UM,74340,3535640,1.64,1.57,47.6,55605,2.61,20.7,1.27,77.2,15,5,17698,0.7,2510,50.3,21.7,40.1,39.2,38.4,69.7
101,Peru,PE,2011,South America,UM,1279996,29512778,0.55,1.64,23.1,482540,2.59,21.5,1.27,75.3,14.7,5.2,153008,-10.9,-321218,48.8,18.1,37.8,50.1,39.8,48.3
102,Philippines,PH,2011,Asia,LM,298170,95333272,1.61,1.96,319.7,1866116,3.14,25.1,1.53,70.4,24.4,5.5,525515,-3.5,-335858,39.73,10.75,29.33,34.78,19.1,42.1
103,Poland,PL,2011,Europe,H,304255,38631804,0.01,0.02,127,8906,1.29,10.1,0.63,76.6,4.7,9.8,379510,-0.1,-4334,53.1,18.98,40.84,42.28,41.48,60.78
104,Portugal,PT,2011,Europe,H,91470,10634486,-0.29,-0.06,116.3,-5990,1.36,9.1,0.66,80,3,9.7,102845,-2.3,-24331,79.97,37.03,64.57,54.87,56.67,48.8
105,Puerto Rico,PR,2011,North America,H,8869,3679461,-1.17,0.3,414.9,11123,1.61,11.2,0.79,79.1,8.5,8.1,29910,-14.8,-54324,97.1,32.6,73.9,71.8,81.2,22.5
106,Romania,RO,2011,Europe,UM,229891,20389656,-0.72,-0.27,88.7,-55204,1.41,9.6,0.68,74.7,9.1,12.3,251439,-4.5,-91727,49.45,14.03,36.73,40.45,34.25,36.03
107,Serbia,RS,2011,Europe,UM,77474,7195769,-0.53,-0.52,92.9,-37337,1.38,9.1,0.67,74.2,6.2,14.3,102935,-0.1,-1000,59.9,21.3,46,39.9,47.1,30.8
108,Singapore,SG,2011,Asia,H,709,5252194,1.22,0.74,7407.9,38868,1.2,10.8,0.59,83.5,1.8,3.4,17914,4.8,25000,88.8,84.9,87.4,88.2,52.7,82.5
109,Slovenia,SI,2011,Europe,H,20151,2088442,0.25,0.16,103.6,3248,1.55,10.5,0.75,79.8,3.4,9,18699,1,2059,70.35,28.35,55.25,67.15,50.35,63.65
